id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
qV8T-rG2gyqOQqsyZ48kSrz_yQZwCPPWQqLNp60uHyuoy41umBPNu0X3vw,MhyN2ACbNwWf6aAe2c1uSn61Bw1MMt0J63bueGpUvQcfbuXXqf7KHWIZ,vZ2317AUdRjMsSGBUZ-3n-2XnpteNLMoaredCIJo19SL7uqrQBELAgi1yhnQotd5C6wKWxKTAz3Clg,King,1588,1664417663528,68
UeX9cgsB2R54db7DDe-WN6IJVtMRC0JbikRr3Ov-H0cW,VZmBpHOQ4glL7J2g-3FNxSG-FGeA6wfWo6ef0cFTZAQ,Iu0PVfEAVhV9H14FVQ1C6BbEp81OtBUPl7fi0vuIndlFVMZoTIka7iOy2371o-0QZVT49wgYkzkxmw,Sexóloga,5543,1665415032000,614
PtVSBigcva1NO3lDNVQD8anfB24LhJPSIikIEjr2OdWlTxKkv48FQbKPog,-OspMVBF6zoyJyxSSyQMlMgRCjQXAEmxEWwmfP2tbeRsHnO9d2YSZvIg,HNpURxtsLzl7KnwGKQ9TecE7xgNkU0onC0iL6cf5KVsS-Detu9brIIDoUhPskO8akrHrr1L8HwQ6GA,courtesy,5463,1665509541296,52
TJGU5ycTcpbqnVGSRsbGpz3Cc5aaM3Qyvhrvei5ZbVX59i6tMELv_zgCcw,0yb8qetRerR58s8cBChJdSv-guPQuTHfOMFpojpwVlNLO4auM1hI0lDz,XCDDWEL6XJRNTXEMQokEmrmXJ7jXKk9c_i2cULEXeCDXcOYTOrs-oyAWFiblkUJD9xLPoDlNYBv8GQ,doitforyourself,5212,1665517157086,109
OXlk3m5NlM23Pz32DEwOciX3sIfoGK2yyQrrNfUEquoCJw,y3DW0RDi2sOcR1Xrq-tmtTIW5V3BYTwFo8FechB-Q9ga5mA,IdH_-mdnmwqxqjecJy2DI0oeTFwdVhdj8JrJhWepbqXodreoM0Te6ZcoBG0ArSa7oUM6wuOqaVM_Jw,iMaaasTeR,5558,1665457280000,628
8pLTRIMVke9q9PKv11FkKOdZQagXGeddwuflJha8eXQDRg,VnFZKVGGqFrnvMdeHfQitYhmCkjlZBnSiygqO4c4M1NwR0o,Toss7dfxCNCYPDpNk4jcIO24h-c-BXavkdsCcrrLLT3ir4eLOTv9ALg0kzqOowtpWoOY5ItSHI2jcQ,Gnar,4880,1665578769234,840
pS-n4EpU1YIE4UEfjRKMGS72S0B1xIjA4y9zpTcTYGwwSQ,iCQUqwKDLCoBpYGbyfC7MudPwgAKT5tbbsbs9N9Y8_1ZdtA,GAlpuy-WhiSPnHpeAIYiItj7rFisJ_7F2Ip-XELXYZDp2rqmDWKtiux7TQ_5KcTB3j_PJKB6LbF3ew,visão,4363,1664671519948,1223
ecCF41F6-oVhAPkylrDHua5PB3GNwXqCJo0wCTndZgGphA,RfdmMJD3tY5BOYi_LdEEt0kUQNhhR7C8zDH7iWXujdQqLSQ,2Rme644OIxjW-3zePG39jpCx_4nUcIe2WuoRkq5PQkycIJ4vbIJ5NJ-i-F2oYQQhliToowbndLBivA,   ASPEXY,3536,1665278505000,595
_TFsmgZmWh9D_ax0tb7cRpNfa6ZnNYFED4JB9mhpqBMt,qzg2pDkWOK9AnbeOmw0077jgx1oKrSShA8IZhWUcfIw,nMCDdynsek2W6CUc1AWLQt3QQzdlgNeXj28J04nE7dLdmYP22kpa_F1oDZ7FXKZb5fRCOFNkTl7tmQ,sephis,4650,1665290575582,648
JsVNsOpfgegiuluKQerR-rhGp5hhop2AbzUYihfiq8mUjUw,_-QJSbwZ7vO5OgyZz3Xr3HiBrcWJhUj9Wku78QJNExhYB9c,K_w-8cSQeVNJm9NG5qo-9FsBxeH0knhpnrj7o0Mscl0r26Alztwa5oLSmt2LF7C2_nrMoYZwPj8jsw,Tengalos,5465,1665414315000,246
UvgLMFvAdeSEe9gijAzGVk9DO8ByFQhJTWsQO6i6xDpY,Exxr2KGNTArWDDgVnZxNkU5I-ieavAcK5T60Yxkr1Mo,Z1VZLBlW6DrSgz59zLO7eXSfY5vyM8euZU8YrgPlRgmgzWGAOiozroPRPkT3vCVURbpmrIi0xvXf2g,Aíthusa,4073,1665541955565,776
MuGeaCH2eIBC6k40rOZvjz1MyS1wKcD01ARD4fiaTKQeFg,0kCXez3bZ5grj1BAJux4r_zhW-LF56zfv0GMStWc-haR,uoD2k9u0uv06pLDMfGWpCZ9M1UPJvxbOObLrxh4cwpPMn2JPNQRusK-lJwOjINgrmxXnUPeBPi0aGg,polo capalot,5464,1665543086000,618
Cyxs8ZFK2KuyZDRIow5XtP-LS-2aexzV9Jhb_5EaHso_Qas,7tYLjJFtG7b8j-ljT77AmJ8xMvdq49Ppiyd2_CxE5TtuSzo,F8lK3dkRz2KT94Ai-P9ACrInqoQWCxQI5xWO-x0_gzR45nngLzTBe7XwfGGq5iTlB7dlGh16KgMLkw,I WILLIAM I,4408,1665459650000,631
V6Q8fuEgKkEYBBBM63jqvUhJiOIBablnTk0CZ4TAqxoD1lI,cu0zOxupXSl2s7RxG4GjFqmdcfb8CKUHb06-oz3sJSYxAXeCK1xf0tTy,WA_mKBqMrfF-rMVccDNzHGcZGCGDeOlH3dK42TXFz2Pq2E-dE_iYJ8pXjyr0h_93xmexraBQ4kQ0Jw,Curselol1,5316,1664816210373,75
NiDDE0jdrc8frv5mCF9_MPRk_dxsIEQFjb7vGnMa6PTwKg,VZ0OfUV9mGZ6m-4qDnPXEgid22y3jN8EHffpWrKjhULr,MwylTFZiec9SRp4xKv42nb2Z_X31bnH-dZQ1Et8SEA0Esjht_MBAA2wK4sz8cYlhMJ3DmGqf4fWS-Q,slxmshady,29,1665358399000,174
XNgbeHMr9LMrToCGQ4ZeFi0S2LPM_OZVbVVezKnuqYB8OHKJYVLspaskUA,LqU_7LqcXKi0_c-DgGX_OIR6ch1ZVM_kxi87o2nIvpmQNjdrb3hbXbuE,pGn9jx-6LGN3DO3gR_-gXu80Trt1rmi0L7lDt6xJDA0hMsRkTmwmqd28-aOGwtxUyqWDEkeksbxFNw,Remospea,4903,1665201762000,59
JGR_MDRS9GDa7vSUYvfFeLvPZa5CgzYjc8RTedS62haJHA,ZDF0oyL8D0pslFwo2OPG0PNER4i8G3-nXvt5QdkJaPhjvNQ,cuGOQEthNixqnQU2LbGQMAylsoxrU-WjNgo0A_y0Calplz_cU0rxWXsGID15Ish5JtBtMiRFkapVbw,guia3,5505,1665528792945,674
ns2sgv8rVz_ayzk-NcnzTiXg0TrMY0OneKRP2m2Ew4Oz-R0,U0kiu38Tll8CogMoQQx4sWJdUNan3tsoWmQIzNEKK7_LyZ8,HQX2dOMiSJ1BoxwDFlYwieU-bloG-w8zwm2vPp_1L7knHvOWb2XNuSJKomqzxbGHaUFyfRDGMRm3iw,Going Under,4986,1665287972000,324
v7-0g4E4SQP-BN6YJEd_IdZzYViFuHrFGaJo7ma2Cmv1Gr8,bjeqUAhx-ip3meQpCehnhYiWXMtymFAdfnuGrLPL6xvm,U5QA9oOTW4ioh9xonwSmWFMJHnSM7GW7rMJHd2EIku_HxtUq46JffSOkiZgvS9NfhGQrxaPsDLelKg,Tio Hero,1588,1665538904257,792
1VtZ_PBvsOX0bPnDoXQqeuQr9MJ2CpI9zOdZpHRJmFsHWg,i8_IFpD2czKKmyPU5l_PXABxB-3N8XcELMGp7nyuF6zI,RVlec1Sy3xpr3INqLaA4txMkRVRAeBx8WZ7S4FncRVSPW6WD3F7JtQpPTA0FTqPw1QMAwO6dLTUw2g,Betão 8,5462,1665541614173,653
kPnAXjXCOoIhYH6YwaXuYStoKNsZd-cZJvdyqdjenYgi,WbvH4-h9_Vs3shwkAzAKWFpmZgOiVW-c2V6xWol7u54,7_VyOAghHj0RiCYisqpO7umZjyUY96A3oPThcSr53K9IwLiJOxZLKI9m0K6ge4DAjXmv9pTuYLC5kQ,submerged soul,1588,1665447319000,673
YLIy5vOAVpjtR-MfJMNzza_qoKrv-0dud3UrNZFLEDxzEA,cG8SRUw28wK1HAnQnz0Jq6M0FPYNI99gYKq2dEUCBHjDsWQ,hGrejaiJkUufVLQikS_P1OLWU9X35N5IODX1QW5uPmh9HpmGgVn0ayLNXYxx5xZ2SzW_LJZSsiYwKQ,TheCortez,7,1665418287273,426
jbxkJ0e5C7QsuxDOU843aN_lDhGVW1moQNUoeqKecqD4qg,0kkAciJjMGQb_aj9n68cXH96EqQTWmYfDfcjO6pOuKw1k9k,j5-Hdkm6YYTwTXnO7A65PhHTmHO0IEYOVEXN6f7YbLNtLEmgy4dx3iLZGE1vmpXYE8mD0VCxiWJVsQ,UdyrDemolidor5,4568,1665430648000,165
zygZ8ZGusmvpfIqVXNKUzj-5zIJtEpfOBhRM5gAuQzpTcg,exQRKu789dURFETx3SPYJ3Wpc6ByGc5JW5K34SsYQzkN2sY,PuiEKm2ouF_WYNpyez5BRJPmcORYEQ0q-hpuhSzbS6VsDshoja3nuX6iCFmFPMW4fBvwKHGTlAqVtA,gMbs,4425,1665515005400,689
Qv_axY73YzIxHE5mZ7upolV6fgJQFuLAdBlK48sYgWsG9Y_LWRUbznhVFA,GmRwJaM2xqPnoZM5WDV870hxTxwA3afFw0yce1LkYMK3aBB8qo9JCtmx,MkhqRybo7YXPDO88--6m5e-t21TIAV-jLH7uYHLHGofVj6l2WjChPlkmrL6-Z07QpfpyIV3PhBZ9JA,Arcane Lover,29,1665436687000,61
Gmqu7i_s4AlzBCxAsA649Y3qrFlvKl4WbNdGBwHSfvpp8Q,7pvS_jOuLMcniiP3aUg-g867RJnwLduWlVBm3VdDF-YmGBg,a_m8Gtl2T73nYir4Qonts5Ru6T9xa6MuK6yQgfJDDQzdA2R7UoTtxkPvjqtxH3uVE1TBVPac2NE98w,Sparta Link,27,1665186657000,494
